allocation_id,class_id,subject_id,teacher_id,academic_year,periods_per_week,minutes_per_week,created_at
1,1,1,32,2024,4,160,2022-02-13
2,1,2,34,2024,4,160,2022-09-29
3,1,3,7,2024,4,160,2022-06-06
4,1,4,12,2024,4,160,2022-05-28
5,1,5,14,2024,4,160,2022-01-23
6,1,6,17,2024,4,160,2022-04-11
7,1,7,21,2024,4,160,2022-09-18
8,1,8,23,2024,4,160,2022-07-19
9,1,9,26,2024,4,160,2022-04-10
10,1,10,30,2024,4,160,2022-11-03
11,2,1,31,2024,4,160,2022-11-04
12,2,2,35,2024,4,160,2022-07-13
13,2,3,8,2024,4,160,2022-07-14
14,2,4,11,2024,4,160,2022-05-06
15,2,5,37,2024,4,160,2022-10-19
16,2,6,18,2024,4,160,2022-05-24
17,2,7,21,2024,4,160,2022-09-18
18,2,8,23,2024,4,160,2022-07-19
19,2,9,27,2024,4,160,2022-09-09
20,2,10,28,2024,4,160,2022-03-09
21,3,1,3,2024,4,160,2022-01-18
22,3,2,36,2024,4,160,2022-01-12
23,3,3,7,2024,4,160,2022-06-06
24,3,4,12,2024,4,160,2022-05-28
25,3,5,37,2024,4,160,2022-10-19
26,3,6,16,2024,4,160,2022-05-27
27,3,7,19,2024,4,160,2022-11-02
28,3,8,22,2024,4,160,2022-03-23
29,3,9,27,2024,4,160,2022-09-09
30,3,10,29,2024,4,160,2022-06-25
31,4,1,1,2024,4,160,2022-01-02
32,4,2,4,2024,4,160,2022-03-20
33,4,3,8,2024,4,160,2022-07-14
34,4,4,10,2024,4,160,2022-07-27
35,4,5,39,2024,4,160,2022-05-18
36,4,6,17,2024,4,160,2022-04-11
37,4,7,20,2024,4,160,2022-03-23
38,4,8,23,2024,4,160,2022-07-19
39,4,9,27,2024,4,160,2022-09-09
40,4,10,40,2024,4,160,2022-03-09
41,5,1,3,2024,4,160,2022-01-18
42,5,2,4,2024,4,160,2022-03-20
43,5,3,9,2024,4,160,2022-06-28
44,5,4,10,2024,4,160,2022-07-27
45,5,5,15,2024,4,160,2022-12-01
46,5,6,17,2024,4,160,2022-04-11
47,5,7,20,2024,4,160,2022-03-23
48,5,8,23,2024,4,160,2022-07-19
49,5,9,26,2024,4,160,2022-04-10
50,5,10,29,2024,4,160,2022-06-25
51,6,1,32,2024,4,160,2022-02-13
52,6,2,36,2024,4,160,2022-01-12
53,6,3,8,2024,4,160,2022-07-14
54,6,4,10,2024,4,160,2022-07-27
55,6,5,14,2024,4,160,2022-01-23
56,6,6,17,2024,4,160,2022-04-11
57,6,7,21,2024,4,160,2022-09-18
58,6,8,23,2024,4,160,2022-07-19
59,6,9,27,2024,4,160,2022-09-09
60,6,10,40,2024,4,160,2022-03-09
61,7,11,3,2024,4,160,2022-01-18
62,7,12,36,2024,4,160,2022-01-12
63,7,13,38,2024,4,160,2022-06-03
64,7,14,42,2024,4,160,2022-07-18
65,7,15,43,2024,4,160,2022-07-04
66,7,16,48,2024,4,160,2022-11-07
67,7,17,49,2024,4,160,2022-09-28
68,7,18,52,2024,4,160,2022-04-05
69,7,19,57,2024,4,160,2022-10-30
70,7,20,58,2024,4,160,2022-07-05
71,8,11,3,2024,4,160,2022-01-18
72,8,12,35,2024,4,160,2022-07-13
73,8,13,39,2024,4,160,2022-05-18
74,8,14,28,2024,4,160,2022-03-09
75,8,15,45,2024,4,160,2022-07-27
76,8,16,46,2024,4,160,2022-06-24
77,8,17,51,2024,4,160,2022-07-27
78,8,18,53,2024,4,160,2022-04-18
79,8,19,57,2024,4,160,2022-10-30
80,8,20,58,2024,4,160,2022-07-05
81,9,11,33,2024,4,160,2022-06-16
82,9,12,35,2024,4,160,2022-07-13
83,9,13,13,2024,4,160,2022-11-02
84,9,14,40,2024,4,160,2022-03-09
85,9,15,43,2024,4,160,2022-07-04
86,9,16,47,2024,4,160,2022-10-22
87,9,17,49,2024,4,160,2022-09-28
88,9,18,54,2024,4,160,2022-01-25
89,9,19,56,2024,4,160,2022-01-09
90,9,20,60,2024,4,160,2022-05-02
91,10,11,1,2024,4,160,2022-01-02
92,10,12,36,2024,4,160,2022-01-12
93,10,13,15,2024,4,160,2022-12-01
94,10,14,28,2024,4,160,2022-03-09
95,10,15,43,2024,4,160,2022-07-04
96,10,16,46,2024,4,160,2022-06-24
97,10,17,49,2024,4,160,2022-09-28
98,10,18,54,2024,4,160,2022-01-25
99,10,19,56,2024,4,160,2022-01-09
100,10,20,58,2024,4,160,2022-07-05
101,11,11,2,2024,4,160,2022-08-11
102,11,12,34,2024,4,160,2022-09-29
103,11,13,13,2024,4,160,2022-11-02
104,11,14,41,2024,4,160,2022-10-18
105,11,15,44,2024,4,160,2022-11-04
106,11,16,46,2024,4,160,2022-06-24
107,11,17,50,2024,4,160,2022-11-18
108,11,18,52,2024,4,160,2022-04-05
109,11,19,56,2024,4,160,2022-01-09
110,11,20,58,2024,4,160,2022-07-05
111,12,11,31,2024,4,160,2022-11-04
112,12,12,36,2024,4,160,2022-01-12
113,12,13,13,2024,4,160,2022-11-02
114,12,14,28,2024,4,160,2022-03-09
115,12,15,45,2024,4,160,2022-07-27
116,12,16,46,2024,4,160,2022-06-24
117,12,17,49,2024,4,160,2022-09-28
118,12,18,54,2024,4,160,2022-01-25
119,12,19,55,2024,4,160,2022-10-25
120,12,20,60,2024,4,160,2022-05-02
