attendance_id,student_id,date,status
1,1359,2024-03-06,Absent
2,1359,2024-03-07,Present
3,1359,2024-03-08,Present
4,1359,2024-03-11,Present
5,1359,2024-03-12,Present
6,1359,2024-03-13,Present
7,1359,2024-03-14,Present
8,1359,2024-03-15,Present
9,1359,2024-03-18,Present
10,1359,2024-03-19,Present
11,1359,2024-03-20,Absent
12,1359,2024-03-21,Present
13,1359,2024-03-22,Absent
14,1359,2024-03-25,Present
15,1359,2024-03-26,Present
16,1359,2024-03-27,Present
17,1359,2024-03-28,Present
18,1359,2024-03-29,Present
19,1359,2024-04-01,Present
20,1359,2024-04-02,Present
21,1359,2024-04-03,Present
22,1359,2024-04-04,Present
23,1359,2024-04-05,Absent
24,1359,2024-04-08,Present
25,1359,2024-04-09,Present
26,1359,2024-04-10,Present
27,1359,2024-04-11,Absent
28,1359,2024-04-12,Present
29,1359,2024-04-15,Present
30,1359,2024-04-16,Present
31,1359,2024-04-17,Present
32,1359,2024-04-18,Present
33,1359,2024-04-19,Present
34,1359,2024-04-22,Present
35,1359,2024-04-23,Present
36,1359,2024-04-24,Absent
37,1359,2024-04-25,Present
38,1359,2024-04-26,Present
39,1359,2024-04-29,Absent
40,1359,2024-04-30,Present
41,1359,2024-05-01,Present
42,1359,2024-05-02,Absent
43,1359,2024-05-03,Present
44,1359,2024-05-06,Present
45,1359,2024-05-07,Present
46,1359,2024-05-08,Present
47,1359,2024-05-09,Present
48,1359,2024-05-10,Absent
49,1359,2024-05-13,Present
50,1359,2024-05-14,Present
51,1359,2024-05-15,Absent
52,1359,2024-05-16,Present
53,1359,2024-05-17,Present
54,1359,2024-05-20,Absent
55,1359,2024-05-21,Present
56,1359,2024-05-22,Present
57,1359,2024-05-23,Absent
58,1359,2024-05-24,Present
59,1359,2024-05-27,Present
60,1359,2024-05-28,Present
61,1359,2024-05-29,Present
62,1359,2024-05-30,Present
63,1359,2024-05-31,Present
64,1359,2024-06-03,Present
65,1359,2024-06-04,Present
66,1289,2024-03-06,Present
67,1289,2024-03-07,Present
68,1289,2024-03-08,Present
69,1289,2024-03-11,Present
70,1289,2024-03-12,Present
71,1289,2024-03-13,Present
72,1289,2024-03-14,Absent
73,1289,2024-03-15,Present
74,1289,2024-03-18,Present
75,1289,2024-03-19,Present
76,1289,2024-03-20,Present
77,1289,2024-03-21,Present
78,1289,2024-03-22,Present
79,1289,2024-03-25,Present
80,1289,2024-03-26,Absent
81,1289,2024-03-27,Present
82,1289,2024-03-28,Present
83,1289,2024-03-29,Present
84,1289,2024-04-01,Present
85,1289,2024-04-02,Absent
86,1289,2024-04-03,Present
87,1289,2024-04-04,Present
88,1289,2024-04-05,Absent
89,1289,2024-04-08,Present
90,1289,2024-04-09,Present
91,1289,2024-04-10,Present
92,1289,2024-04-11,Present
93,1289,2024-04-12,Present
94,1289,2024-04-15,Present
95,1289,2024-04-16,Present
96,1289,2024-04-17,Present
97,1289,2024-04-18,Present
98,1289,2024-04-19,Present
99,1289,2024-04-22,Present
100,1289,2024-04-23,Absent
101,1289,2024-04-24,Present
102,1289,2024-04-25,Present
103,1289,2024-04-26,Present
104,1289,2024-04-29,Present
105,1289,2024-04-30,Present
106,1289,2024-05-01,Absent
107,1289,2024-05-02,Present
108,1289,2024-05-03,Present
109,1289,2024-05-06,Absent
110,1289,2024-05-07,Present
111,1289,2024-05-08,Absent
112,1289,2024-05-09,Present
113,1289,2024-05-10,Absent
114,1289,2024-05-13,Present
115,1289,2024-05-14,Present
116,1289,2024-05-15,Present
117,1289,2024-05-16,Present
118,1289,2024-05-17,Present
119,1289,2024-05-20,Present
120,1289,2024-05-21,Present
121,1289,2024-05-22,Present
122,1289,2024-05-23,Absent
123,1289,2024-05-24,Present
124,1289,2024-05-27,Present
125,1289,2024-05-28,Present
126,1289,2024-05-29,Absent
127,1289,2024-05-30,Present
128,1289,2024-05-31,Present
129,1289,2024-06-03,Absent
130,1289,2024-06-04,Present
131,1223,2024-03-06,Present
132,1223,2024-03-07,Present
133,1223,2024-03-08,Absent
134,1223,2024-03-11,Present
135,1223,2024-03-12,Present
136,1223,2024-03-13,Present
137,1223,2024-03-14,Present
138,1223,2024-03-15,Present
139,1223,2024-03-18,Absent
140,1223,2024-03-19,Present
141,1223,2024-03-20,Present
142,1223,2024-03-21,Present
143,1223,2024-03-22,Present
144,1223,2024-03-25,Absent
145,1223,2024-03-26,Present
146,1223,2024-03-27,Absent
147,1223,2024-03-28,Absent
148,1223,2024-03-29,Present
149,1223,2024-04-01,Present
150,1223,2024-04-02,Present
151,1223,2024-04-03,Present
152,1223,2024-04-04,Present
153,1223,2024-04-05,Absent
154,1223,2024-04-08,Present
155,1223,2024-04-09,Present
156,1223,2024-04-10,Present
157,1223,2024-04-11,Absent
158,1223,2024-04-12,Absent
159,1223,2024-04-15,Present
160,1223,2024-04-16,Present
161,1223,2024-04-17,Present
162,1223,2024-04-18,Present
163,1223,2024-04-19,Present
164,1223,2024-04-22,Present
165,1223,2024-04-23,Present
166,1223,2024-04-24,Present
167,1223,2024-04-25,Present
168,1223,2024-04-26,Absent
169,1223,2024-04-29,Present
170,1223,2024-04-30,Present
171,1223,2024-05-01,Present
172,1223,2024-05-02,Present
173,1223,2024-05-03,Absent
174,1223,2024-05-06,Present
175,1223,2024-05-07,Present
176,1223,2024-05-08,Present
177,1223,2024-05-09,Present
178,1223,2024-05-10,Absent
179,1223,2024-05-13,Present
180,1223,2024-05-14,Present
181,1223,2024-05-15,Present
182,1223,2024-05-16,Absent
183,1223,2024-05-17,Present
184,1223,2024-05-20,Present
185,1223,2024-05-21,Present
186,1223,2024-05-22,Present
187,1223,2024-05-23,Present
188,1223,2024-05-24,Present
189,1223,2024-05-27,Absent
190,1223,2024-05-28,Present
191,1223,2024-05-29,Present
192,1223,2024-05-30,Present
193,1223,2024-05-31,Present
194,1223,2024-06-03,Present
195,1223,2024-06-04,Present
196,1378,2024-03-06,Absent
197,1378,2024-03-07,Present
198,1378,2024-03-08,Present
199,1378,2024-03-11,Present
200,1378,2024-03-12,Present
201,1378,2024-03-13,Absent
202,1378,2024-03-14,Present
203,1378,2024-03-15,Present
204,1378,2024-03-18,Present
205,1378,2024-03-19,Present
206,1378,2024-03-20,Present
207,1378,2024-03-21,Present
208,1378,2024-03-22,Present
209,1378,2024-03-25,Present
210,1378,2024-03-26,Present
211,1378,2024-03-27,Absent
212,1378,2024-03-28,Absent
213,1378,2024-03-29,Present
214,1378,2024-04-01,Present
215,1378,2024-04-02,Present
216,1378,2024-04-03,Absent
217,1378,2024-04-04,Present
218,1378,2024-04-05,Absent
219,1378,2024-04-08,Present
220,1378,2024-04-09,Present
221,1378,2024-04-10,Present
222,1378,2024-04-11,Present
223,1378,2024-04-12,Present
224,1378,2024-04-15,Absent
225,1378,2024-04-16,Present
226,1378,2024-04-17,Present
227,1378,2024-04-18,Present
228,1378,2024-04-19,Present
229,1378,2024-04-22,Present
230,1378,2024-04-23,Present
231,1378,2024-04-24,Absent
232,1378,2024-04-25,Present
233,1378,2024-04-26,Absent
234,1378,2024-04-29,Present
235,1378,2024-04-30,Present
236,1378,2024-05-01,Present
237,1378,2024-05-02,Present
238,1378,2024-05-03,Present
239,1378,2024-05-06,Absent
240,1378,2024-05-07,Present
241,1378,2024-05-08,Present
242,1378,2024-05-09,Present
243,1378,2024-05-10,Present
244,1378,2024-05-13,Present
245,1378,2024-05-14,Absent
246,1378,2024-05-15,Absent
247,1378,2024-05-16,Present
248,1378,2024-05-17,Present
249,1378,2024-05-20,Absent
250,1378,2024-05-21,Present
251,1378,2024-05-22,Present
252,1378,2024-05-23,Absent
253,1378,2024-05-24,Present
254,1378,2024-05-27,Absent
255,1378,2024-05-28,Present
256,1378,2024-05-29,Present
257,1378,2024-05-30,Present
258,1378,2024-05-31,Present
259,1378,2024-06-03,Absent
260,1378,2024-06-04,Absent
261,1031,2024-03-06,Present
262,1031,2024-03-07,Present
263,1031,2024-03-08,Present
264,1031,2024-03-11,Present
265,1031,2024-03-12,Present
266,1031,2024-03-13,Absent
267,1031,2024-03-14,Present
268,1031,2024-03-15,Present
269,1031,2024-03-18,Absent
270,1031,2024-03-19,Present
271,1031,2024-03-20,Absent
272,1031,2024-03-21,Present
273,1031,2024-03-22,Present
274,1031,2024-03-25,Present
275,1031,2024-03-26,Present
276,1031,2024-03-27,Present
277,1031,2024-03-28,Present
278,1031,2024-03-29,Present
279,1031,2024-04-01,Present
280,1031,2024-04-02,Present
281,1031,2024-04-03,Present
282,1031,2024-04-04,Present
283,1031,2024-04-05,Present
284,1031,2024-04-08,Present
285,1031,2024-04-09,Present
286,1031,2024-04-10,Present
287,1031,2024-04-11,Absent
288,1031,2024-04-12,Present
289,1031,2024-04-15,Present
290,1031,2024-04-16,Present
291,1031,2024-04-17,Present
292,1031,2024-04-18,Present
293,1031,2024-04-19,Present
294,1031,2024-04-22,Absent
295,1031,2024-04-23,Absent
296,1031,2024-04-24,Absent
297,1031,2024-04-25,Absent
298,1031,2024-04-26,Present
299,1031,2024-04-29,Present
300,1031,2024-04-30,Absent
301,1031,2024-05-01,Absent
302,1031,2024-05-02,Absent
303,1031,2024-05-03,Present
304,1031,2024-05-06,Absent
305,1031,2024-05-07,Present
306,1031,2024-05-08,Absent
307,1031,2024-05-09,Absent
308,1031,2024-05-10,Present
309,1031,2024-05-13,Present
310,1031,2024-05-14,Present
311,1031,2024-05-15,Present
312,1031,2024-05-16,Present
313,1031,2024-05-17,Present
314,1031,2024-05-20,Present
315,1031,2024-05-21,Present
316,1031,2024-05-22,Absent
317,1031,2024-05-23,Present
318,1031,2024-05-24,Present
319,1031,2024-05-27,Present
320,1031,2024-05-28,Present
321,1031,2024-05-29,Present
322,1031,2024-05-30,Present
323,1031,2024-05-31,Present
324,1031,2024-06-03,Present
325,1031,2024-06-04,Present
326,1082,2024-03-06,Absent
327,1082,2024-03-07,Present
328,1082,2024-03-08,Present
329,1082,2024-03-11,Present
330,1082,2024-03-12,Absent
331,1082,2024-03-13,Present
332,1082,2024-03-14,Present
