participation_id,student_id,activity_id,date,hours_spent,special_occasion
1,1359,1,2024-03-08,3,False
2,1359,1,2024-03-15,1,False
3,1359,1,2024-03-22,3,False
4,1359,1,2024-03-29,1,False
5,1359,1,2024-04-05,1,False
6,1359,1,2024-04-12,3,False
7,1359,1,2024-04-19,3,True
8,1359,1,2024-04-26,3,False
9,1359,1,2024-05-03,2,False
10,1359,1,2024-05-10,2,False
11,1359,1,2024-05-17,1,False
12,1359,1,2024-05-24,1,False
13,1359,1,2024-05-31,1,False
14,1289,3,2024-03-08,2,False
15,1289,3,2024-03-15,3,False
16,1289,3,2024-03-22,2,False
17,1289,3,2024-03-29,3,False
18,1289,3,2024-04-05,1,False
19,1289,3,2024-04-12,2,False
20,1289,3,2024-04-19,3,False
21,1289,3,2024-04-26,4,True
22,1289,3,2024-05-03,3,True
23,1289,3,2024-05-10,2,False
24,1289,3,2024-05-17,3,False
25,1289,3,2024-05-24,1,False
26,1289,3,2024-05-31,3,False
27,1223,4,2024-03-08,3,False
28,1223,4,2024-03-15,1,False
29,1223,4,2024-03-22,3,False
30,1223,4,2024-03-29,3,False
31,1223,4,2024-04-05,4,True
32,1223,4,2024-04-12,1,False
33,1223,4,2024-04-19,3,False
34,1223,4,2024-04-26,3,False
35,1223,4,2024-05-03,1,False
36,1223,4,2024-05-10,2,False
37,1223,4,2024-05-17,1,False
38,1223,4,2024-05-24,1,False
39,1223,4,2024-05-31,2,False
40,1378,5,2024-03-08,2,False
41,1378,5,2024-03-15,3,False
42,1378,5,2024-03-22,1,False
43,1378,5,2024-03-29,1,False
44,1378,5,2024-04-05,3,False
45,1378,5,2024-04-12,5,True
46,1378,5,2024-04-19,3,False
47,1378,5,2024-04-26,1,False
48,1378,5,2024-05-03,3,False
49,1378,5,2024-05-10,2,False
50,1378,5,2024-05-17,2,False
51,1378,5,2024-05-24,1,False
52,1378,5,2024-05-31,2,False
53,1031,4,2024-03-08,2,False
54,1031,4,2024-03-15,3,False
55,1031,4,2024-03-22,3,False
56,1031,4,2024-03-29,3,False
57,1031,4,2024-04-05,3,False
58,1031,4,2024-04-12,2,False
59,1031,4,2024-04-19,1,False
