grade_id,student_id,subject_id,first_test,second_test,exam,total_score,grade,academic_year,term,created_at
1,1359,11,0,2,36,38,F,2024,First Term,2024-10-08 16:49:58
2,1359,12,3,5,27,35,F,2024,First Term,2024-10-08 16:49:58
3,1359,13,11,14,34,59,C,2024,First Term,2024-10-08 16:49:58
4,1359,14,3,2,12,17,F,2024,First Term,2024-10-08 16:49:58
5,1359,15,1,3,20,24,F,2024,First Term,2024-10-08 16:49:58
6,1359,16,2,1,10,13,F,2024,First Term,2024-10-08 16:49:58
7,1359,17,3,5,28,36,F,2024,First Term,2024-10-08 16:49:58
8,1359,18,0,2,13,15,F,2024,First Term,2024-10-08 16:49:58
9,1359,19,4,1,18,23,F,2024,First Term,2024-10-08 16:49:58
10,1359,20,2,4,0,6,F,2024,First Term,2024-10-08 16:49:58
11,1289,1,3,5,31,39,F,2024,First Term,2024-10-08 16:49:58
12,1289,2,2,4,4,10,F,2024,First Term,2024-10-08 16:49:58
13,1289,3,12,12,18,42,D,2024,First Term,2024-10-08 16:49:58
14,1289,4,1,4,29,34,F,2024,First Term,2024-10-08 16:49:58
15,1289,5,4,4,14,22,F,2024,First Term,2024-10-08 16:49:58
16,1289,6,5,3,0,8,F,2024,First Term,2024-10-08 16:49:58
17,1289,7,4,1,27,32,F,2024,First Term,2024-10-08 16:49:58
18,1289,8,3,3,16,22,F,2024,First Term,2024-10-08 16:49:58
19,1289,9,15,10,47,72,A,2024,First Term,2024-10-08 16:49:58
20,1289,10,2,3,8,13,F,2024,First Term,2024-10-08 16:49:58
21,1223,1,1,3,22,26,F,2024,First Term,2024-10-08 16:49:58
22,1223,2,2,5,36,43,D,2024,First Term,2024-10-08 16:49:58
23,1223,3,2,0,37,39,F,2024,First Term,2024-10-08 16:49:58
24,1223,4,4,1,6,11,F,2024,First Term,2024-10-08 16:49:58
25,1223,5,3,5,19,27,F,2024,First Term,2024-10-08 16:49:58
26,1223,6,4,5,7,16,F,2024,First Term,2024-10-08 16:49:58
27,1223,7,2,3,18,23,F,2024,First Term,2024-10-08 16:49:58
28,1223,8,14,10,39,63,B,2024,First Term,2024-10-08 16:49:58
29,1223,9,1,2,15,18,F,2024,First Term,2024-10-08 16:49:58
30,1223,10,1,4,3,8,F,2024,First Term,2024-10-08 16:49:58
31,1378,11,2,1,25,28,F,2024,First Term,2024-10-08 16:49:58
32,1378,12,4,3,6,13,F,2024,First Term,2024-10-08 16:49:58
33,1378,13,5,2,40,47,D,2024,First Term,2024-10-08 16:49:58
34,1378,14,13,10,54,77,A,2024,First Term,2024-10-08 16:49:58
35,1378,15,0,5,22,27,F,2024,First Term,2024-10-08 16:49:58
36,1378,16,0,0,13,13,F,2024,First Term,2024-10-08 16:49:58
37,1378,17,4,3,1,8,F,2024,First Term,2024-10-08 16:49:58
38,1378,18,1,1,15,17,F,2024,First Term,2024-10-08 16:49:58
39,1378,19,3,3,33,39,F,2024,First Term,2024-10-08 16:49:58
40,1378,20,0,1,29,30,F,2024,First Term,2024-10-08 16:49:58
41,1031,1,3,1,30,34,F,2024,First Term,2024-10-08 16:49:58
42,1031,2,1,3,15,19,F,2024,First Term,2024-10-08 16:49:58
43,1031,3,1,4,26,31,F,2024,First Term,2024-10-08 16:49:58
44,1031,4,2,3,22,27,F,2024,First Term,2024-10-08 16:49:58
45,1031,5,1,4,33,38,F,2024,First Term,2024-10-08 16:49:58
46,1031,6,10,12,77,99,A,2024,First Term,2024-10-08 16:49:58
47,1031,7,1,4,28,33,F,2024,First Term,2024-10-08 16:49:58
48,1031,8,4,0,0,4,F,2024,First Term,2024-10-08 16:49:58
49,1031,9,12,11,53,76,A,2024,First Term,2024-10-08 16:49:58
50,1031,10,4,2,4,10,F,2024,First Term,2024-10-08 16:49:58
51,1082,1,5,1,15,21,F,2024,First Term,2024-10-08 16:49:58
52,1082,2,4,2,9,15,F,2024,First Term,2024-10-08 16:49:58
53,1082,3,3,4,18,25,F,2024,First Term,2024-10-08 16:49:58
54,1082,4,4,5,5,14,F,2024,First Term,2024-10-08 16:49:58
55,1082,5,5,1,5,11,F,2024,First Term,2024-10-08 16:49:58
56,1082,6,0,2,26,28,F,2024,First Term,2024-10-08 16:49:58
57,1082,7,2,3,35,40,D,2024,First Term,2024-10-08 16:49:58
58,1082,8,1,1,40,42,D,2024,First Term,2024-10-08 16:49:58
59,1082,9,1,5,25,31,F,2024,First Term,2024-10-08 16:49:58
